"NOM","XL93","YL93","FROM","TO","C10C40_LD","OUT","ECH","EP","ALT","LITHO","GEOLE","CLC","Copernic","GEOBAP","COPER_H2","GEOBAP_H2","GEO_COPER_H2","dist_basias","dist_basol","dist_centre","dist_eau","dist_route","C10C40"
"T14-31046-S1",571491.9797,6280606.395,0,0.2,"=",1,"S2",0.2,133.8529357,7,4,2,2,7,3,3,31,182.4309692,1222.897339,2657.830078,36.05551147,22.36067963,19
"T15-31031-ST3",577355.2302,6280915.197,0,0.3,"<",1,"S2",0.3,137.3819942,5,3,9,15,5,2,2,21,297.0901184,1354.332642,3634.228027,192.3538361,22.36067963,10
"FGU01",575937.077,6280438.416,0,0.05,"<",1,"S2",0.05,192.9230122,16,5,2,7,7,4,3,42,201.0310822,798.4348755,2141.189941,782.9431763,41.23105621,10
"FGU02",572849.227,6279782.04,0,0.05,"=",1,"S2",0.05,134.1215981,7,4,2,7,7,4,3,41,73.60391235,424.0084229,1129.33252,126.4911041,28.28427124,27
"FGU03",572012.014,6281313.036,0,0.05,"=",1,"S2",0.05,131,6,3,2,15,7,2,3,21,224.5253143,851.4067993,2584.550537,350.1428223,36.05551147,25
"FGU04",575286.125,6280848.85,0,0.05,"<",1,"S2",0.05,145.2553851,15,5,2,2,7,3,3,32,57.94908524,264.5772705,1813.989746,386.005188,58.30952072,10
"FGU05",574365.923,6282561.776,0,0.05,"=",1,"S2",0.05,138.4964568,6,3,2,14,7,4,3,41,223.950119,1452.159668,2977.897217,1666.283325,20,33
"FGU06",575266.281,6282946.153,0,0.05,"=",1,"S2",0.05,137,6,3,2,15,7,2,3,21,96.94687653,1427.136963,3576.460693,1725.862061,80,40
"FGU07",572038.732,6284565.266,0,0.05,"=",1,"S2",0.05,130,6,3,9,16,5,2,2,21,29.46076012,904.6779175,5312.03125,312.5700073,30,18
"FGU08",570864.786,6279492.104,0,0.05,"=",1,"S2",0.05,149.2212253,4,2,8,15,3,2,2,22,209.1268005,319.5254211,3098.708252,1032.375854,64.03124237,19
"FGU09",571592.303,6278095.765,0,0.05,"=",1,"S2",0.05,140.1819972,6,3,2,15,7,2,3,21,170.0306396,520.2789307,2812.289551,1643.958618,20,13
"FGU10",571789.216,6275208.975,0,0.05,"=",1,"S2",0.05,146,6,3,2,7,7,4,3,41,193.4368591,942.3554688,4908.464355,224.7220459,14.14213562,35
"FGU11",566853.391,6277388.882,0,0.05,"=",1,"S2",0.05,147.6964046,5,3,8,19,3,1,2,11,406.4728394,1471.281128,7444.961914,70.7106781,20,17
"FGU12",569319.779,6279371.622,0,0.05,"=",1,"S2",0.05,150.7164233,4,2,2,7,7,4,3,42,255.3748932,1118.632324,4652.572754,291.2044067,224.7220459,21
"FGU14",566609.633,6280500.253,0,0.05,"<",1,"S2",0.05,155.8936492,4,2,2,16,7,2,3,22,630.1918335,548.4553223,7410.092285,2414.560059,22.36067963,10
"FGU16",574740.394,6278561.845,0,0.05,"=",1,"S2",0.05,145.0093886,18,6,8,15,3,2,2,21,63.16467667,468.1894226,1303.869263,552.2680664,20,39
"FGU17",576344.953,6277243.052,0,0.05,"<",1,"S2",0.05,153.260396,15,5,2,15,7,2,3,22,237.3857117,1030.496704,3361.020508,518.5556641,50,10
"FGU19",581604.569,6276795.433,0,0.05,"=",1,"S2",0.05,148.4304492,5,3,2,16,7,2,3,21,2617.037598,2671.27124,8147.063965,2830,14.14213562,55
