N;NOM;XL93;YL93;FROM;TO;C10C40_LD;C10C40;OUT;ECH;EP;ALT;LITHO;GEOLE;CLC;Copernic;GEOBAP;COPER_H2;GEOBAP_H2;GEO_COPER_H2;dist_basias;dist_basol;dist_centre;dist_eau;dist_route
1136;P25;571882.86;6279135.74;0;0.6;<;20;1;E1;0.6;139;6;3;3;7;8;4;4;41;163.4691925;564.4570313;2131.063965;655.1335449;50.99019623
1137;P25;571882.86;6279135.74;0.6;1.2;<;20;1;E1;0.6;139;6;3;3;7;8;4;4;41;163.4691925;564.4570313;2131.063965;655.1335449;50.99019623
1138;P24;571884.59;6279155.75;0;0.7;<;20;1;E1;0.7;139;6;3;3;7;8;4;4;41;152.2464294;584.1477051;2126.652588;638.1222534;31.62277603
1139;P24;571884.59;6279155.75;0.7;1.1;<;20;1;E1;0.4;139;6;3;3;7;8;4;4;41;152.2464294;584.1477051;2126.652588;638.1222534;31.62277603
1140;P23;571886.44;6279175.48;0;0.7;=;45;9;E1;0.7;139;6;3;3;7;8;4;4;41;142.9537506;603.8587036;2122.420166;621.2890015;14.14213562
1141;P23;571886.44;6279175.48;0.7;1;<;20;1;E1;0.3;139;6;3;3;7;8;4;4;41;142.9537506;603.8587036;2122.420166;621.2890015;14.14213562
1142;P22;571888.33;6279195.44;0;0.5;=;60;9;E1;0.5;139;6;3;3;7;8;4;4;41;133.8398132;623.5881348;2118.368408;604.6486816;14.14213562
1143;P22;571888.33;6279195.44;0.5;1.2;=;25;9;E1;0.7;139;6;3;3;7;8;4;4;41;133.8398132;623.5881348;2118.368408;604.6486816;14.14213562
1144;P21;571890.25;6279215.39;0;0.7;<;20;9;E1;0.7;139;6;3;3;7;8;4;4;41;117.8554077;643.3342285;2114.497803;588.2176514;20
1145;P21;571890.25;6279215.39;0.7;1.1;<;20;9;E1;0.4;139;6;3;3;7;8;4;4;41;117.8554077;643.3342285;2114.497803;588.2176514;20
1146;P20;571898.95;6279094.04;0;0.5;=;25;1;E1;0.5;139;6;3;3;7;8;4;4;41;183.5771637;527.152832;2130.721191;684.7627563;20
